r2
Best parameters set found on development set:
{'epsilon': 0.1, 'C': 1000, 'gamma': 0.001}

Grid scores on development set:
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1, 'gamma': 1}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1, 'gamma': 0.1}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1, 'gamma': 0.01}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1, 'gamma': 0.001}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1, 'gamma': 0.0001}
0.052 (+/-0.022) for {'epsilon': 1, 'C': 1, 'gamma': 1}
0.056 (+/-0.013) for {'epsilon': 1, 'C': 1, 'gamma': 0.1}
0.025 (+/-0.018) for {'epsilon': 1, 'C': 1, 'gamma': 0.01}
0.007 (+/-0.011) for {'epsilon': 1, 'C': 1, 'gamma': 0.001}
-0.002 (+/-0.008) for {'epsilon': 1, 'C': 1, 'gamma': 0.0001}
0.054 (+/-0.052) for {'epsilon': 0.1, 'C': 1, 'gamma': 1}
0.087 (+/-0.025) for {'epsilon': 0.1, 'C': 1, 'gamma': 0.1}
0.059 (+/-0.019) for {'epsilon': 0.1, 'C': 1, 'gamma': 0.01}
0.024 (+/-0.011) for {'epsilon': 0.1, 'C': 1, 'gamma': 0.001}
0.006 (+/-0.003) for {'epsilon': 0.1, 'C': 1, 'gamma': 0.0001}
0.044 (+/-0.055) for {'epsilon': 0.01, 'C': 1, 'gamma': 1}
0.086 (+/-0.035) for {'epsilon': 0.01, 'C': 1, 'gamma': 0.1}
0.060 (+/-0.019) for {'epsilon': 0.01, 'C': 1, 'gamma': 0.01}
0.025 (+/-0.012) for {'epsilon': 0.01, 'C': 1, 'gamma': 0.001}
0.006 (+/-0.004) for {'epsilon': 0.01, 'C': 1, 'gamma': 0.0001}
0.042 (+/-0.055) for {'epsilon': 0.001, 'C': 1, 'gamma': 1}
0.086 (+/-0.033) for {'epsilon': 0.001, 'C': 1, 'gamma': 0.1}
0.060 (+/-0.018) for {'epsilon': 0.001, 'C': 1, 'gamma': 0.01}
0.025 (+/-0.011) for {'epsilon': 0.001, 'C': 1, 'gamma': 0.001}
0.006 (+/-0.003) for {'epsilon': 0.001, 'C': 1, 'gamma': 0.0001}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 10, 'gamma': 1}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 10, 'gamma': 0.1}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 10, 'gamma': 0.01}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 10, 'gamma': 0.001}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 10, 'gamma': 0.0001}
0.026 (+/-0.033) for {'epsilon': 1, 'C': 10, 'gamma': 1}
0.055 (+/-0.031) for {'epsilon': 1, 'C': 10, 'gamma': 0.1}
0.057 (+/-0.024) for {'epsilon': 1, 'C': 10, 'gamma': 0.01}
0.025 (+/-0.018) for {'epsilon': 1, 'C': 10, 'gamma': 0.001}
0.007 (+/-0.011) for {'epsilon': 1, 'C': 10, 'gamma': 0.0001}
-0.117 (+/-0.052) for {'epsilon': 0.1, 'C': 10, 'gamma': 1}
0.084 (+/-0.055) for {'epsilon': 0.1, 'C': 10, 'gamma': 0.1}
0.089 (+/-0.031) for {'epsilon': 0.1, 'C': 10, 'gamma': 0.01}
0.059 (+/-0.019) for {'epsilon': 0.1, 'C': 10, 'gamma': 0.001}
0.024 (+/-0.011) for {'epsilon': 0.1, 'C': 10, 'gamma': 0.0001}
-0.156 (+/-0.061) for {'epsilon': 0.01, 'C': 10, 'gamma': 1}
0.071 (+/-0.063) for {'epsilon': 0.01, 'C': 10, 'gamma': 0.1}
0.088 (+/-0.036) for {'epsilon': 0.01, 'C': 10, 'gamma': 0.01}
0.058 (+/-0.018) for {'epsilon': 0.01, 'C': 10, 'gamma': 0.001}
0.025 (+/-0.012) for {'epsilon': 0.01, 'C': 10, 'gamma': 0.0001}
-0.160 (+/-0.062) for {'epsilon': 0.001, 'C': 10, 'gamma': 1}
0.071 (+/-0.063) for {'epsilon': 0.001, 'C': 10, 'gamma': 0.1}
0.089 (+/-0.036) for {'epsilon': 0.001, 'C': 10, 'gamma': 0.01}
0.058 (+/-0.019) for {'epsilon': 0.001, 'C': 10, 'gamma': 0.001}
0.025 (+/-0.011) for {'epsilon': 0.001, 'C': 10, 'gamma': 0.0001}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1000, 'gamma': 1}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1000, 'gamma': 0.1}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1000, 'gamma': 0.01}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1000, 'gamma': 0.001}
-0.217 (+/-0.121) for {'epsilon': 10, 'C': 1000, 'gamma': 0.0001}
0.026 (+/-0.033) for {'epsilon': 1, 'C': 1000, 'gamma': 1}
-0.078 (+/-0.058) for {'epsilon': 1, 'C': 1000, 'gamma': 0.1}
0.008 (+/-0.050) for {'epsilon': 1, 'C': 1000, 'gamma': 0.01}
0.066 (+/-0.051) for {'epsilon': 1, 'C': 1000, 'gamma': 0.001}
